angle radius accuracy
-13.2203 1.4231 78.4071
-12.5424 1.4231 84.1511
-11.8644 1.4231 89.3120
-11.1864 1.4231 93.8369
-10.5085 1.4231 97.6737
-9.8305 1.4231 100.7744
-9.1525 1.4231 103.1282
-8.4746 1.4231 104.8028
-7.7966 1.4231 105.8713
-7.1186 1.4231 106.4116
-6.4407 1.4231 106.5019
-5.7627 1.4231 106.2202
-5.0847 1.4231 105.6444
-4.4068 1.4231 104.8526
-3.7288 1.4231 103.9228
-3.0508 1.4231 102.9331
-2.3729 1.4231 101.9614
-1.6949 1.4231 101.0859
-1.0169 1.4231 100.4609
-0.3390 1.4231 100.1723
0.3390 1.4231 100.0508
1.0169 1.4231 100.1213
1.6949 1.4231 100.5637
2.3729 1.4231 101.2763
3.0508 1.4231 102.1083
3.7288 1.4231 102.9856
4.4068 1.4231 103.8341
5.0847 1.4231 104.5797
5.7627 1.4231 105.1483
6.4407 1.4231 105.4657
7.1186 1.4231 105.4579
7.7966 1.4231 105.0506
8.4746 1.4231 104.1699
9.1525 1.4231 102.7415
9.8305 1.4231 100.7058
10.5085 1.4231 98.0218
11.1864 1.4231 94.6970
11.8644 1.4231 90.7456
12.5424 1.4231 86.2123
13.2203 1.4231 81.1454
13.8983 1.4231 75.5931
14.5763 1.4231 69.6036
15.2542 1.4231 63.2251
15.9322 1.4231 56.5058
16.6102 1.4231 49.4940
17.2881 1.4231 42.2378
17.9661 1.4231 34.7854
18.6441 1.4231 27.1913
19.3220 1.4231 19.6362
20.0000 1.4231 12.0756
-20.0000 1.5256 -0.2275
-19.3220 1.5256 8.4601
-18.6441 1.5256 17.1156
-17.9661 1.5256 25.6650
-17.2881 1.5256 34.0551
-16.6102 1.5256 42.2331
-15.9322 1.5256 50.1458
-15.2542 1.5256 57.7405
-14.5763 1.5256 64.9640
-13.8983 1.5256 71.7635
-13.2203 1.5256 78.0858
-12.5424 1.5256 83.8781
-11.8644 1.5256 89.0875
-11.1864 1.5256 93.6608
