height radius accuracy
0.5424 1.7308 98.0017
0.6780 1.7308 97.8979
0.8136 1.7308 97.7867
0.9492 1.7308 97.7112
1.0847 1.7308 97.7400
1.2203 1.7308 97.9458
1.3559 1.7308 98.2354
1.4915 1.7308 98.5188
1.6271 1.7308 98.6743
1.7627 1.7308 98.6328
1.8983 1.7308 98.6915
2.0339 1.7308 98.6846
2.1695 1.7308 98.6833
2.3051 1.7308 98.8117
2.4407 1.7308 99.0809
2.5763 1.7308 99.4001
2.7119 1.7308 99.7506
2.8475 1.7308 100.1048
2.9831 1.7308 100.4014
3.1186 1.7308 100.5879
3.2542 1.7308 100.7079
3.3898 1.7308 100.8995
3.5254 1.7308 101.4457
3.6610 1.7308 102.1372
3.7966 1.7308 102.7667
3.9322 1.7308 103.1368
4.0678 1.7308 103.0398
4.2034 1.7308 102.4932
4.3390 1.7308 101.5622
4.4746 1.7308 100.2872
4.6102 1.7308 98.7671
4.7458 1.7308 97.1484
4.8814 1.7308 95.4380
5.0169 1.7308 93.2445
5.1525 1.7308 90.4342
5.2881 1.7308 87.3814
5.4237 1.7308 84.3853
5.5593 1.7308 81.3710
5.6949 1.7308 78.2307
5.8305 1.7308 74.9273
5.9661 1.7308 71.4186
6.1017 1.7308 67.6165
6.2373 1.7308 63.5252
6.3729 1.7308 59.3437
6.5085 1.7308 55.1903
6.6441 1.7308 51.1592
6.7797 1.7308 47.3445
6.9153 1.7308 43.5520
7.0508 1.7308 39.2582
7.1864 1.7308 34.1251
7.3220 1.7308 28.5635
7.4576 1.7308 22.9553
7.5932 1.7308 17.3417
7.7288 1.7308 11.6523
7.8644 1.7308 5.9338
8.0000 1.7308 0.3322
0.0000 1.9231 97.8506
0.1356 1.9231 97.8728
0.2712 1.9231 98.1502
0.4068 1.9231 98.2637
0.5424 1.9231 98.2116
0.6780 1.9231 98.1332
0.8136 1.9231 98.0511
0.9492 1.9231 97.9892
1.0847 1.9231 98.0115
1.2203 1.9231 98.1819
1.3559 1.9231 98.4046
1.4915 1.9231 98.6304
1.6271 1.9231 98.8307
1.7627 1.9231 98.8718
1.8983 1.9231 98.8616
2.0339 1.9231 98.8508
2.1695 1.9231 98.8535
2.3051 1.9231 99.0233
2.4407 1.9231 99.2601
2.5763 1.9231 99.5268
2.7119 1.9231 99.8171
2.8475 1.9231 100.1251
2.9831 1.9231 100.3930
3.1186 1.9231 100.5607
3.2542 1.9231 100.6704
3.3898 1.9231 101.0276
3.5254 1.9231 101.5788
3.6610 1.9231 102.1095
3.7966 1.9231 102.5741
3.9322 1.9231 102.8386
4.0678 1.9231 102.6893
4.2034 1.9231 102.1447
4.3390 1.9231 101.2716
4.4746 1.9231 100.0658
4.6102 1.9231 98.4882
4.7458 1.9231 96.6560
4.8814 1.9231 94.7094
5.0169 1.9231 92.3995
5.1525 1.9231 89.5017
5.2881 1.9231 86.4875
5.4237 1.9231 83.4180
5.5593 1.9231 80.1605
5.6949 1.9231 76.6928
5.8305 1.9231 73.1224
5.9661 1.9231 69.4403
6.1017 1.9231 65.5583
6.2373 1.9231 61.4921
6.3729 1.9231 57.4522
6.5085 1.9231 53.4437
6.6441 1.9231 49.4117
6.7797 1.9231 45.4589
6.9153 1.9231 41.6293
7.0508 1.9231 37.4255
7.1864 1.9231 32.4581
7.3220 1.9231 27.2445
7.4576 1.9231 22.0156
7.5932 1.9231 16.6935
7.7288 1.9231 11.2643
7.8644 1.9231 5.7931
8.0000 1.9231 0.4351
0.0000 2.1154 98.3552
0.1356 2.1154 98.4650
0.2712 2.1154 98.6556
0.4068 2.1154 98.6553
0.5424 2.1154 98.6168
0.6780 2.1154 98.5599
0.8136 2.1154 98.4993
0.9492 2.1154 98.4508
1.0847 2.1154 98.4666
1.2203 2.1154 98.5965
1.3559 2.1154 98.7497
1.4915 2.1154 98.9060
1.6271 2.1154 99.0548
1.7627 2.1154 99.1691
1.8983 2.1154 99.1367
2.0339 2.1154 99.1160
2.1695 2.1154 99.1426
2.3051 2.1154 99.2842
2.4407 2.1154 99.4537
2.5763 2.1154 99.6455
2.7119 2.1154 99.8609
2.8475 2.1154 100.1011
2.9831 2.1154 100.3295
3.1186 2.1154 100.4691
3.2542 2.1154 100.6602
3.3898 2.1154 101.0679
3.5254 2.1154 101.4698
3.6610 2.1154 101.8256
3.7966 2.1154 102.1098
3.9322 2.1154 102.2617
4.0678 2.1154 102.0600
4.2034 2.1154 101.5205
4.3390 2.1154 100.7066
4.4746 2.1154 99.5771
4.6102 2.1154 98.0747
4.7458 2.1154 96.1559
4.8814 2.1154 93.9667
5.0169 2.1154 91.5181
5.1525 2.1154 88.5747
5.2881 2.1154 85.5213
5.4237 2.1154 82.2058
5.5593 2.1154 78.5906
5.6949 2.1154 74.7950
5.8305 2.1154 70.9403
5.9661 2.1154 67.0841
6.1017 2.1154 63.1223
6.2373 2.1154 59.1097
